adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/oBmwaZ3NVa3JyZnv1qCo0znxjUw.jpg,"[80, 27, 53]",1029281,en,Strange Darling,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,382.742,/kWNCRgt3ocv19bYO0sk7TRuZuFY.jpg,2024-08-22,Strange Darling,False,7.032,187
False,,"[27, 53]",1320786,en,Terrifier 4,Plot TBA. The fourth installment in the Terrifier franchise.,431.229,/2p5KjqH3Qo5JI2u8bUAVopzoekm.jpg,,Terrifier 4,False,0.0,0
False,/tPfXJcXxQ3MHyvhzNsDgsXoyPEM.jpg,"[27, 9648]",1249532,en,Rippy,"Young police officer Maddy is determined to live up to her deceased father's legacy. Her courage is put to the test when locals are found brutally ripped to shreds by the zombie kangaroo. As the undead beast leaves a trail of carnage, Maddy, with the help of her eccentric Uncle Schmitty and resilient Aunt Donna, must embark on a high-stakes battle to save the town.",417.807,/cZ5U4Ae74g29E02JR5oR98RQhiR.jpg,2024-10-25,Rippy,False,4.5,16
False,/5tqkP8NNWdteskVBYPRXE6h82ts.jpg,[18],592695,sv,Pleasure,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",416.976,/7Z2K08J0WantJHNa0vLTOmii41l.jpg,2021-10-08,Pleasure,False,6.2,539
False,/bEJyUUygNSLhe4BPykEHf3hPnsh.jpg,"[28, 53]",1145491,en,Operation Black Ops,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.",415.78,/vMgkjQM2fHirExilsTZWJTqL33G.jpg,2023-07-11,Operation Black Ops,False,5.71,31
False,/xWT5F1DNxciNLEMXRl49iq8zvN7.jpg,"[14, 16, 10751]",9479,en,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",325.729,/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,1993-10-09,The Nightmare Before Christmas,False,7.8,9458
False,/l8OyAXEp5FKZWmDhqJMbiwAEvz.jpg,"[27, 18]",814889,en,Never Let Go,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.",399.565,/3EpZ2ksjijmdr8BhISP03PYzNFW.jpg,2024-09-18,Never Let Go,False,6.2,168
False,/g1z1ZvYKcmk9EnVOTYXR6vkNjkZ.jpg,"[14, 27, 28]",1087822,en,Hellboy: The Crooked Man,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.",459.1,/iz2GabtToVB05gLTVSH7ZvFtsMM.jpg,2024-08-29,Hellboy: The Crooked Man,False,5.4,245
False,/vGaBqgY8YRzQVUbBMPnd5SmYvL7.jpg,"[16, 35]",1329336,en,The Bad Guys: Haunted Heist,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,398.095,/oEJC05CqPugMxC4rFu9r6r6vg6m.jpg,2024-10-02,The Bad Guys: Haunted Heist,False,7.318,74
False,/sLp1vdiIQoLgLYsOb9ebDbBYB7D.jpg,"[12, 35, 14, 28]",1091181,fr,Loups-Garous,"When an old card game comes to life, a family jumps back in time to a medieval village where they must unmask werewolves to secure their return home.",375.057,/uL1dR0L65GZgy3h2gvZcxDu0bRG.jpg,2024-10-22,Family Pack,False,5.7,227
